data_out when valid: format                                           
      Real,  dec,      Imag,  dec
0000111011,   59,1111000100,  -60
1111000000,  -64,0000100010,   34
1111010000,  -48,0001101010,  106
0000111000,   56,1111111101,   -3
0001111010,  122,1110100111,  -89
0000010101,   21,1110111100,  -68
1110011100, -100,0001010001,   81
1111001110,  -50,0001101001,  105
0001000101,   69,1111110001,  -15
0001111110,  126,1110010110, -106
0000100000,   32,1110101100,  -84
1110010101, -107,0001000011,   67
1110011100, -100,0010000101,  133
0000011100,   28,0000101000,   40
0001110100,  116,1110101110,  -82
0000110111,   55,1110101100,  -84
1110110100,  -76,0000101000,   40
1111010111,  -41,0001010100,   84
0000110001,   49,1111110000,  -16
0001001010,   74,1110111001,  -71
1111100010,  -30,1111110101,  -11
1111101110,  -18,0000101000,   40
0000111110,   62,1111010101,  -43
1111001001,  -55,1111110011,  -13
1111101101,  -19,0001000110,   70
0000011010,   26,1111011110,  -34
0000001001,    9,1111110010,  -14
1111111001,   -7,0000000100,    4
1110110111,  -73,0000110000,   48
0000100101,   37,0000100101,   37
0001111101,  125,1110000000, -128
1111000011,  -61,1111100111,  -25
1111000100,  -60,0001011110,   94
1111111100,   -4,0000001010,   10
1111100111,  -25,0000010101,   21
0001001000,   72,1111110001,  -15
0000101111,   47,1110100011,  -93
1110011011, -101,0000111110,   62
1110110011,  -77,0001110111,  119
0001100101,  101,1111100101,  -27
0000101100,   44,1110100111,  -89
1111001110,  -50,0000101100,   44
0000011000,   24,0000010100,   20
0001000101,   69,1110110100,  -76
0000110000,   48,1110111110,  -66
1111011000,  -40,1111101111,  -17
1110001101, -115,0001011111,   95
1110111010,  -70,0001101001,  105
0001010000,   80,1111110001,  -15
0001010001,   81,1110011100, -100
1110101110,  -82,0000011111,   31
0000000011,    3,0001000100,   68
0001111101,  125,1110010000, -112
1111001110,  -50,1111011000,  -40
1111010001,  -47,0001010101,   85
0000000011,    3,1111111001,   -7
0000000000,    0,1111111110,   -2
0001010001,   81,1111001110,  -50
1111110111,   -9,1110111011,  -69
1111001111,  -49,0000110011,   51
1111111010,   -6,0000000001,    1
0000001001,    9,1111101011,  -21
1111011110,  -34,0000001001,    9
1110100011,  -93,0001001100,   76
1111111011,   -5,0001000011,   67
0001110010,  114,1110101011,  -85
0000101110,   46,1110100101,  -91
1110110011,  -77,0000100100,   36
1111100010,  -30,0000111111,   63
1111100110,  -26,0000001111,   15
1111111100,   -4,0000100010,   34
0001010100,   84,1111001111,  -49
0001001010,   74,1110010110, -106
0000000011,    3,1111010111,  -41
1111100101,  -27,1111111001,   -7
1110100011,  -93,0000110101,   53
1110111011,  -69,0001010111,   87
1111101010,  -22,0000101110,   46
0000110100,   52,1111101111,  -17
0000011000,   24,1111011111,  -33
1110101110,  -82,0000111011,   59
1111010011,  -45,0001110001,  113
0001101010,  106,1111011000,  -40
0001000110,   70,1110101100,  -84
0000010000,   16,1111101100,  -20
1111110011,  -13,0000001011,   11
1110101000,  -88,0001000011,   67
0000101111,   47,0000101111,   47
0001001010,   74,1110100011,  -93
1111100100,  -28,0000001001,    9
1111010010,  -46,0001000011,   67
0000000001,    1,0000011101,   29
0001101010,  106,1111001010,  -54
0001101011,  107,1101110101, -139
1111101100,  -20,1111010101,  -43
1101111100, -132,0001011010,   90
1111011100,  -36,0001011000,   88
0000000111,    7,1111111010,   -6
1111010110,  -42,0000101010,   42
0001001101,   77,1111111110,   -2
0001111100,  124,1101110001, -143
1111111000,   -8,1111001000,  -56
1111011111,  -33,0000010110,   22
1111100101,  -27,0000000010,    2
1110110011,  -77,0000110000,   48
1111011010,  -38,0001000100,   68
1111110000,  -16,0000010110,   22
0000011010,   26,0000001001,    9
0000010100,   20,1111101101,  -19
1111101101,  -19,0000010100,   20
0001001111,   79,1111101000,  -24
0001100101,  101,1101111101, -131
0000010000,   16,1110111011,  -69
1110011111,  -97,0000100100,   36
1110011011, -101,0001100111,  103
0000110110,   54,1111111111,   -1
0001011111,   95,1110000010, -126
1110101100,  -84,0000000000,    0
1101011111, -161,0010100001,  161
1111010110,  -42,0001110010,  114
0000100110,   38,0000000011,    3
0000001100,   12,0000001101,   13
1111111101,   -3,0000101010,   42
0001110101,  117,1111011010,  -38
0001000100,   68,1110011110,  -98
1111000001,  -63,0000101011,   43
1111100010,  -30,0001010010,   82
1111111111,   -1,0000010100,   20
0000110100,   52,0000000100,    4
0000110101,   53,1111010000,  -48
0000101101,   45,1111100000,  -32
0001001101,   77,1110111010,  -70
1111000011,  -61,1111110011,  -13
1110101110,  -82,0001101101,  109
0000111111,   63,1111110100,  -12
1111110001,  -15,1111011011,  -37
1111000100,  -60,0001010101,   85
0001010001,   81,1111101100,  -20
0000111000,   56,1110100010,  -94
1111010011,  -45,0000010101,   21
0000000001,    1,0000011001,   25
0000001111,   15,1111100011,  -29
1111111000,   -8,0000000000,    0
0000010100,   20,1111110011,  -13
0000101000,   40,1111001001,  -55
1110111000,  -72,0000001111,   15
1101111000, -136,0010001010,  138
1111010101,  -43,0001110010,  114
0000010111,   23,0000010110,   22
0001001110,   78,1111101111,  -17
0001010010,   82,1110111101,  -67
0001000000,   64,1111000110,  -58
1111111100,   -4,1111101011,  -21
1111100001,  -31,0000011111,   31
0000111000,   56,1111101011,  -21
1111110101,  -11,1111010100,  -44
1110001110, -114,0001101000,  104
0000101011,   43,0000101001,   41
0001101101,  109,1110001011, -117
0000011000,   24,1110111110,  -66
0000010001,   17,1111100110,  -26
1110100101,  -91,0000010001,   17
1101101001, -151,0010011111,  159
0000000110,    6,0001001111,   79
0001011101,   93,1110111011,  -69
0000000001,    1,1111101010,  -22
1110111011,  -69,0001010001,   81
0000100110,   38,0000100100,   36
0010000000,  128,1110011010, -102
0000111001,   57,1110011111,  -97
1110110101,  -75,0000100000,   32
1111110011,  -13,0000110010,   50
0000110110,   54,1111001011,  -53
1111100110,  -26,1111101011,  -21
0000000000,    0,0000011000,   24
1111101100,  -20,1111110001,  -15
1110010001, -111,0001011111,   95
1110111111,  -65,0001111100,  124
0001110010,  114,1111100010,  -30
0001000101,   69,1110100000,  -96
1110100000,  -96,0001000101,   69
1111001101,  -51,0010000001,  129
0001001001,   73,1111110101,  -11
0010010110,  150,1110010101, -107
0000100010,   34,1110100110,  -90
1111101000,  -24,0000011000,   24
0000011110,   30,1111101101,  -19
1110110100,  -76,0000001111,   15
1111001001,  -55,0001101000,  104
0001101000,  104,1111001001,  -55
1111111010,   -6,1111000011,  -61
1110010111, -105,0001101101,  109
0001000111,   71,0000001111,   15
0000111010,   58,1110011101,  -99
1110010101, -107,0001001001,   73
1111000011,  -61,0010000000,  128
0001111000,  120,1111010010,  -46
0001000011,   67,1110011100, -100
1111110111,   -9,0000000010,    2
0000001110,   14,0000000001,    1
1111001101,  -51,0000001110,   14
0000000100,    4,0000110001,   49
0000011011,   27,1111011100,  -36
1111000111,  -57,0000101010,   42
1111001101,  -51,0001011101,   93
1111111000,   -8,0000110001,   49
0001100111,  103,1111100100,  -28
0000110111,   55,1110110011,  -77
1110111001,  -71,0000111100,   60
0000110001,   49,0000100111,   39
0001001111,   79,1110100101,  -91
0000100110,   38,1111010111,  -41
1111101000,  -24,1111111110,   -2
1110011111,  -97,0001010001,   81
0000110000,   48,0000100110,   38
0010001110,  142,1101101101, -147
1111110111,   -9,1110111100,  -68
1110011001, -103,0001010001,   81
1110110101,  -75,0001011100,   92
1111001011,  -53,0001001011,   75
0000111110,   62,0000001100,   12
0010010100,  148,1110000000, -128
1111110000,  -16,1111000010,  -62
1111011011,  -37,0000111011,   59
1111111101,   -3,1111111110,   -2
0000000101,    5,1111111000,   -8
0001001100,   76,1111001001,  -55
1111100011,  -29,1111001010,  -54
1110001000, -120,0001101111,  111
1111010010,  -46,0001010101,   85
0001001101,   77,1111100001,  -31
0001110111,  119,1110000101, -123
0000011100,   28,1110100101,  -91
1110100100,  -92,0000100110,   38
1101111011, -133,0001111011,  123
1111100011,  -29,0001010111,   87
0000011010,   26,1111111100,   -4
0000111100,   60,1111100011,  -29
0000101111,   47,1111001110,  -50
1111011111,  -33,0000000111,    7
1111110010,  -14,0000101111,   47
0000111111,   63,1111010100,  -44
0000011010,   26,1111001100,  -52
1110111110,  -66,0000100100,   36
0000010100,   20,0000011101,   29
0001100100,  100,1110010111, -105
1110111101,  -67,1111101100,  -20
1101100111, -153,0010011110,  158
0000101111,   47,0000101111,   47
0010010111,  151,1101101100, -148
0000101111,   47,1110010011, -109
1110100001,  -95,0000100101,   37
1111001101,  -51,0001000110,   70
0000111111,   63,1111010010,  -46
1111111000,   -8,1111000111,  -57
1111000001,  -63,0000110100,   52
1110110010,  -78,0001000011,   67
1111100000,  -32,0001000011,   67
0001000010,   66,1111101010,  -22
0001011100,   92,1110011101,  -99
0000000110,    6,1111010000,  -48
1110011101,  -99,0000111101,   61
1111011101,  -35,0001010001,   81
0001010011,   83,1111001001,  -55
0001010001,   81,1110010101, -107
0000010010,   18,1111000000,  -64
1111100100,  -28,1111101111,  -17
1110101110,  -82,0000100101,   37
1110101101,  -83,0001001110,   78
1110111100,  -68,0001001101,   77
1111001001,  -55,0001010010,   82
0001011010,   90,1111111011,   -5
0001001111,   79,1110011100, -100
1110110011,  -77,0000101100,   44
1111110101,  -11,0001010011,   83
0001111011,  123,1110101010,  -86
0000100111,   39,1110101001,  -87
1111011111,  -33,0000010011,   19
1111110100,  -12,0000010001,   17
1111101111,  -17,0000000011,    3
1111001111,  -49,0000110000,   48
1111010111,  -41,0000111101,   61
0000011101,   29,0000010011,   19
0001100101,  101,1110110100,  -76
0000001011,   11,1111001010,  -54
1111100010,  -30,0000011111,   31
1111110011,  -13,0000010100,   20
1111011100,  -36,0000011011,   27
1111011101,  -35,0001000000,   64
0000100010,   34,0000000101,    5
0001101011,  107,1110110100,  -76
0000000110,    6,1111000001,  -63
1111101100,  -20,0000011111,   31
0001000011,   67,1111001001,  -55
1111100001,  -31,1111010101,  -43
1110100010,  -94,0001011001,   89
1110111111,  -65,0001010001,   81
1111010101,  -43,0001000110,   70
0000011110,   30,0000100000,   32
0010000000,  128,1110101011,  -85
0001000100,   68,1110011010, -102
1111001101,  -51,0000001101,   13
0000010011,   19,0000010011,   19
0001010011,   83,1110011011, -101
0000010011,   19,1110110011,  -77
1110111010,  -70,0000001110,   14
1110110011,  -77,0000111100,   60
1111000000,  -64,0000111010,   58
0000000100,    4,0000010101,   21
0000011000,   24,1111100110,  -26
0000000100,    4,1111110000,  -16
0000110101,   53,1111011100,  -36
0000101011,   43,1110101001,  -87
1111110001,  -15,1111100101,  -27
1110010111, -105,0000110010,   50
1111001011,  -53,0001010000,   80
1111110101,  -11,0000001100,   12
1111100001,  -31,0000011101,   29
1111100111,  -25,0000110110,   54
1111111101,   -3,0000011001,   25
0001001111,   79,1111101001,  -23
0000010111,   23,1111001000,  -56
1111010010,  -46,0000110101,   53
0000110111,   55,1111111111,   -1
0000001001,    9,1111010011,  -45
1110101011,  -85,0001010100,   84
1111101111,  -17,0001010000,   80
0000010011,   19,0000001000,    8
0000001110,   14,0000011000,   24
0000001010,   10,0000011000,   24
0001011101,   93,1111100010,  -30
0010011100,  156,1101110010, -142
1111111111,   -1,1110101100,  -84
1110001000, -120,0001100011,   99
1111101000,  -24,0001000110,   70
0000011111,   31,1111101000,  -24
1111010101,  -43,0000011010,   26
1111101000,  -24,0001000011,   67
0000011001,   25,0000000110,    6
0000100100,   36,1111110001,  -15
0001010101,   85,1111001010,  -54
1111111110,   -2,1111010011,  -45
1111110111,   -9,0000011100,   28
0000101100,   44,1111011001,  -39
1111101101,  -19,1111100110,  -26
0000010001,   17,0000000110,    6
0000000110,    6,1111010000,  -48
1111101010,  -22,0000000110,    6
1111001101,  -51,0000011100,   28
1111110100,  -12,0000011000,   24
0000000100,    4,1111111001,   -7
